english,polish,type,level
apartment/ flat,mieszkanie,rzeczownik,A1
local/ resident,mieszkaniec,rzeczownik,B1
live (dwell),mieszkać,czasownik,A1
have,mieć,czasownik,A1
have,mieć (posiłkowy),czasownik posiłkowy,A2
shall,mieć (w pytaniach o radę),czasownik modalny,A2
mind,mieć coś przeciwko,czasownik,A2
access,mieć dostęp,czasownik,B1
mean,mieć na myśli,czasownik,A1
wear,mieć na sobie,czasownik,A1
own,mieć na własność,czasownik,A2
slope,mieć nachylenie,czasownik,B2
hope,mieć nadzieję,czasownik,A1
fancy,mieć ochotę na,czasownik,B1
may,mieć pozwolenie,czasownik modalny,A2
tend,mieć skłonność,czasownik,B1
matter,mieć znaczenie,czasownik,A2
used to,mieć zwyczaj,czasownik modalny,A2
house,mieścić,czasownik,B2
seat,mieścić (liczbę osób),czasownik,B2
fit,mieścić się,czasownik,A2
range,mieścić się w przedziale,czasownik,B2
flash,migać,czasownik,B2
pass,mijać,czasownik,A2
mile,mila,rzeczownik,A1
silence,milczenie,rzeczownik,B2
silent,milczący,przymiotnik,B1
welcome,mile widziany,wykrzyknik / przymiotnik,A1
billion,miliard,liczebnik,A2
million,milion,liczebnik,A1
military,militarny,przymiotnik,B2
despite,mimo,przyimek,B1
yet,mimo to,spójnik,B2
although,mimo że,spójnik,A2
mine,mina,rzeczownik,B1
mineral,minerał,rzeczownik,B2
minimum,minimalny,przymiotnik,B2
minimum,minimum,rzeczownik,B2
past,minione,przysłówek,A2
past,miniony,przymiotnik,A1
minister,minister,rzeczownik,B2
minute,minuta,rzeczownik,A1
mission,misja,rzeczownik,B2
bowl,miska,rzeczownik,A2
champion/ master,mistrz,rzeczownik,B1
international,międzynarodowy,przymiotnik,A2
soft,miękki,przymiotnik,A2
muscle,mięsień,rzeczownik,B1
meat,mięso,rzeczownik,A1
love,miłość,rzeczownik,A1
friendly/ kind (caring)/ lovely/ nice/ pleasant/ sweet,miły,przymiotnik,A1
milk,mleko,rzeczownik,A1
me,mnie,zaimek,A1
less,mniej,określnik / zaimek,A2
less,mniej,przysłówek,A2
minority,mniejszość,rzeczownik,B2
minor,mniejszy,przymiotnik,B2
multiply,mnożyć,czasownik,B2
lot,mnóstwo,określnik,A1
lot/ plenty,mnóstwo,zaimek,A1
me,mną,zaimek,A1
mobile,mobilny,przymiotnik,A2
power,moc,rzeczownik,A2
hard/ heavily/ strongly,mocno,przysłówek,A1
strong,mocny,przymiotnik,A1
fasten,mocować,czasownik,B1
fashion,moda,rzeczownik,A2
model,model,rzeczownik,A1
model,modelować,czasownik,B2
prayer,modlitwa,rzeczownik,B1
pray,modlić się,czasownik,B1
fashionable,modny,przymiotnik,B1
modify,modyfikować,czasownik,B2
could,mogła (przeszłość od can),czasownik modalny,A1
my,moja,określnik,A1
mine,moja,zaimek,A2
my,moje,określnik,A1
mine,moje (zaimek dzierżawczy),zaimek,A2
wet,mokry,przymiotnik,A2
moment,moment,rzeczownik,A1
coin,moneta,rzeczownik,B1
monitor/ screen,monitor,rzeczownik,B2
monitor,monitorować,czasownik,B2
install/ mount,montować,czasownik,B2
moral,moralny,przymiotnik,B2
moral,morał,rzeczownik,B2
murder,morderstwo,rzeczownik,B1
murder,mordować,czasownik,B1
sea,morze,rzeczownik,A1
bridge,most,rzeczownik,A2
motorcycle,motocykl,rzeczownik,A2
motor,motoryczny,przymiotnik,B2
theme,motyw,rzeczownik,B1
speech,mowa,rzeczownik,A2
maybe/ perhaps,może,przysłówek,A1
possibly,możliwie,przysłówek,B1
opportunity/ possibility,możliwość,rzeczownik,A2
possible,możliwy,przymiotnik,A1
freeze,mrozić,czasownik,B1
mass,msza,rzeczownik,B2
fly,mucha,rzeczownik,A2
uniform,mundur,rzeczownik,A2
wall,mur,rzeczownik,A1
musical,musical,rzeczownik,B1
have to/ must/ need,musieć,czasownik modalny,A1
shell,muszla,rzeczownik,B1
museum,muzeum,rzeczownik,A1
musical,muzyczny,przymiotnik,A2
musician,muzyk,rzeczownik,A2
music,muzyka,rzeczownik,A1
pop,muzyka pop,rzeczownik / przymiotnik,A2
we,my,zaimek,A1
ourselves,my sami,zaimek,A2
wash/ washing,mycie,rzeczownik,A2
soap,mydło,rzeczownik,A2
confuse,mylić,czasownik,B1
confusing,mylący,przymiotnik,B2
mouse,mysz,rzeczownik,A1
wash,myć,czasownik,A1
thought,myśl,rzeczownik,A2
thinking,myślenie,rzeczownik,A2
think,myśleć,czasownik,A1
can (modal)/ may,móc,czasownik modalny,A1
might,móc (prawdopodobieństwo),czasownik modalny,A2
could,mógł,czasownik modalny,A1
my,mój,określnik,A1
mine,mój,zaimek,A2
speaker,mówca,rzeczownik,A2
spoken,mówiony,przymiotnik,B1
say/ speak/ tell,mówić,czasownik,A1
brain,mózg,rzeczownik,A2
confuse,mącić w głowie,czasownik,B1
clever/ wise,mądry,przymiotnik,A2
flour,mąka,rzeczownik,B1
husband,mąż,rzeczownik,A1
male,męski,przymiotnik,A2
male/ man,mężczyzna,rzeczownik,A2
youth,młodość,rzeczownik,B1
junior,młodszy stażem,przymiotnik,B2
young,młody,przymiotnik,A1
young,młodzi ludzie,rzeczownik,B1
youth,młodzież,rzeczownik,B1
at/ on/ onto/ per/ upon,na,przyimek,A1
worldwide,na całym świecie,przymiotnik / przysłówek,B1
down/ downstairs,na dole,przysłówek,A1
across,na drugą stronę,przysłówek,A1
outdoors,na dworze,przysłówek,B1
down,na dół,przysłówek,A1
retired,na emeryturze,przymiotnik,B1
up/ upstairs,na górze,przysłówek,A1
downstairs,na parterze,przysłówek,A1
certainly/ definitely/ surely,na pewno,przysłówek,A2
upstairs,na piętrze,przysłówek,A1
plus,na plusie,przymiotnik / spójnik / rzeczownik,B2
south,na południe,przysłówek,A1
north,na północ,przysłówek,A1
fortunately,na szczęście,przysłówek,A2
about,na temat,przyimek,A1
east,na wschód,przysłówek,A1
through,na wylot,przysłówek,A1
west,na zachód,przysłówek,A1
forever,na zawsze,przysłówek,B1
outdoors/ outside,na zewnątrz,przysłówek,B1
out,na zewnątrz,przysłówek / przyimek,A1
outside,na zewnątrz (czegoś),przyimek,A2
live (broadcast),na żywo,przymiotnik,B1
live (broadcast),na żywo,przysłówek,B1
service,nabożeństwo,rzeczownik,A2
purchase,nabywać,czasownik,B2
acquire,nabyć,czasownik,B2
slope,nachylenie,rzeczownik,B2
emphasis/ press/ pressure/ stress,nacisk,rzeczownik,B2
press,naciskać,czasownik,B1
chief,naczelny,przymiotnik,B2
dish,naczynie,rzeczownik,A1
above/ over,nad,przyimek,A1
upon,nad (bardziej formalne on),przyimek,B1
suitable,nadający się,przymiotnik,B1
still,nadal,przysłówek,A1
broadcast,nadawać,czasownik,B2
pace,nadawać tempo,czasownik,B2
mention,nadmieniać,czasownik,A2
remark,nadmienić,czasownik,B2
hope,nadzieja,rzeczownik,A2
monitor,nadzorować,czasownik,B2
extraordinary,nadzwyczajny,przymiotnik,B2
suddenly,nagle,przysłówek,A2
urge,naglić,czasownik,B2
reward,nagradzać,czasownik,B2
recording/ tape,nagranie,rzeczownik,A2
award/ prize/ reward,nagroda,rzeczownik,A2
record,nagrywać,czasownik,A2
sudden,nagły,przymiotnik,B1
emergency,nagły wypadek,rzeczownik,B1
headline,nagłówek,rzeczownik,B1
most,najbardziej,przysłówek,A1
worst,najgorsze,rzeczownik,B2
worst,najgorszy,przymiotnik,A2
worst,najgorzej,przysłówek,B1
best,najlepiej,przysłówek,A2
best,najlepszy,przymiotnik,A1
least,najmniej,określnik / zaimek,A2
least,najmniej,przysłówek,A2
latest,najnowszy,przymiotnik,B1
first,najpierw,przysłówek,A1
key/ prime,najważniejszy,przymiotnik,A1
highlight,najważniejszy punkt,rzeczownik,B1
most,najwięcej,określnik / zaimek,A1
apparently/ obviously,najwyraźniej,przysłówek,B2
top,najwyższy,przymiotnik,A2
wind (turn),nakręcać,czasownik,B2
nut,nakrętka,rzeczownik,A2
impose,nakładać,czasownik,B2
insist,nalegać,czasownik,B2
pour,nalewać,czasownik,B1
belong,należeć,czasownik,A2
due,należny,przymiotnik,B1
us,nam,zaimek,A1
us,nami,zaimek,A1
tent,namiot,rzeczownik,B1
passion,namiętność,rzeczownik,B1
consideration,namysł,rzeczownik,B2
fill,napełniać,czasownik,A1
written,napisany,przymiotnik,B1
tip,napiwek,rzeczownik,A2
encounter,napotykać,czasownik,B2
repair,naprawa,rzeczownik,B1
actually/ really/ truly,naprawdę,przysłówek,A2
fix/ repair,naprawiać,czasownik,A2
opposite,naprzeciwko,przymiotnik / przysłówek / przyimek,A1
along/ forward,naprzód,przysłówek,A2
stuff,napychać,czasownik,B2
drink,napój,rzeczownik,A1
fuel,napędzać,czasownik,B2
expose,narażać,czasownik,B2
skiing,narciarstwo,rzeczownik,A2
drug,narkotyk,rzeczownik,A2
national,narodowy,przymiotnik,A2
birth,narodziny,rzeczownik,A2
narrative,narracja,rzeczownik,B1
narrative,narracyjny,przymiotnik,B1
ski,narta,rzeczownik,A2
complain,narzekać,czasownik,A2
impose,narzucać,czasownik,B2
organ,narząd,rzeczownik,B2
tool,narzędzie,rzeczownik,A2
nation,naród,rzeczownik,B1
us,nas,zaimek,A1
cap,nasadka,rzeczownik,B1
seed,nasiono,rzeczownik,B1
set (put),nastawiać,czasownik,B1
attitude,nastawienie,rzeczownik,B1
teenager,nastolatek,rzeczownik,A1
teenager,nastolatka,rzeczownik,A1
teenage,nastoletni,przymiotnik,A2
atmosphere/ mood/ spirit,nastrój,rzeczownik,B1
succeed,nastąpić po,czasownik,A2
next,następna osoba,rzeczownik,B1
next,następna rzecz,rzeczownik,B1
following,następne (rzeczy),rzeczownik,B1
next/ then,następnie,przysłówek,A1
next,następny,przymiotnik,A1
follow,następować po,czasownik,A1
following,następujący,przymiotnik,A2
our,nasz,określnik,A1
ours,nasz (zaimek dzierżawczy),zaimek,B1
outline,naszkicować,czasownik,B2
whereas,natomiast,spójnik,B2
nature,natura,rzeczownik,A2
naturally,naturalnie,przysłówek,B1
natural,naturalny,przymiotnik,A1
immediately,natychmiast,przysłówek,A2
immediate,natychmiastowy,przymiotnik,B1
rush,natłok,rzeczownik,B2
teaching,nauczanie,rzeczownik,A2
teacher,nauczyciel,rzeczownik,A1
teacher,nauczycielka,rzeczownik,A1
learning/ study,nauka,rzeczownik,A2
science,nauka (przedmiot),rzeczownik,A1
academic/ researcher/ scientist,naukowiec,rzeczownik,B2
scientific,naukowy,przymiotnik,B1
storm,nawałnica,rzeczownik,A2
even,nawet,przysłówek,A1
habit,nawyk,rzeczownik,A2
name,nazwa,rzeczownik,A1
call/ name/ term,nazywać,czasownik,A1
copy,naśladować,czasownik,A2
negative,negatywny,przymiotnik,A1
nerve,nerw,rzeczownik,B2
nervous,nerwowy,przymiotnik,A2
anything/ none/ nothing,nic,zaimek,A1
not,nie,przysłówek,A1
no,nie,wykrzyknik,A1
unable,nie będący w stanie,przymiotnik,B1
dislike,nie lubić,czasownik,B1
lack,nie mieć,czasownik,B1
cannot,nie móc,czasownik,A1
fail,nie udać się,czasownik,A2
disagree,nie zgadzać się,czasownik,A2
danger,niebezpieczeństwo,rzeczownik,A2
dangerous,niebezpieczny,przymiotnik,A1
blue,niebieski,przymiotnik,A1
sky,niebo,rzeczownik,A2
heaven,niebo (w sensie religijnym),rzeczownik,B2
dislike,niechęć,rzeczownik,B1
impatient,niecierpliwy,przymiotnik,B2
any/ slightly/ somewhat,nieco,przysłówek,A2
near,niedaleko,przyimek,A1
recently,niedawno,przysłówek,A2
recent,niedawny,przymiotnik,A2
careless,niedbały,przymiotnik,B1
Sunday,niedziela,rzeczownik,A1
soon,niedługo,przysłówek,A1
bear (animal),niedźwiedź,rzeczownik,A2
informal,nieformalny,przymiotnik,A2
her,niej,zaimek / określnik,A1
disadvantage,niekorzyść,rzeczownik,B1
some,niektóre,określnik / zaimek,A1
illegal,nielegalny,przymiotnik,B1
nevertheless,niemniej jednak,przysłówek,B2
old-fashioned,niemodny,przymiotnik,B1
baby,niemowlę,rzeczownik,A1
impossible,niemożliwy,przymiotnik,A2
silly,niemądry,przymiotnik,B1
hate,nienawidzić,czasownik,A1
hate,nienawiść,rzeczownik,B1
careless,nieostrożny,przymiotnik,B1
odd,nieparzysty,przymiotnik,B1
minor,niepełnoletni,przymiotnik,B2
independent,niepodległy,przymiotnik,A2
alarm/ bother/ concern/ trouble,niepokoić,czasownik,B2
concern,niepokój,rzeczownik,B2
unnecessary,niepotrzebny,przymiotnik,B1
failure,niepowodzenie,rzeczownik,B2
wrong,nieprawidłowo,przysłówek,B1
wrong,nieprawidłowy,przymiotnik,A1
unpleasant,nieprzyjemny,przymiotnik,B1
unconscious,nieprzytomny,przymiotnik,B2
estate/ property,nieruchomość,rzeczownik,B2
still,nieruchomy,przymiotnik,B1
incredibly,niesamowicie,przysłówek,B1
amazing/ incredible,niesamowity,przymiotnik,A1
surprise,niespodzianka,rzeczownik,A2
unexpected,niespodziewany,przymiotnik,B2
unusual,niespotykany,przymiotnik,A2
unfair,niesprawiedliwy,przymiotnik,B1
sadly/ unfortunately,niestety,przysłówek,A2
unhappy,nieszczęśliwy,przymiotnik,A2
dishonest,nieuczciwy,przymiotnik,B2
rude,nieuprzejmy,przymiotnik,A2
constant,nieustanny,przymiotnik,B2
incredibly,niewiarygodnie,przysłówek,B1
incredible,niewiarygodny,przymiotnik,A2
blind,niewidomy,przymiotnik,B2
slight,niewielki,przymiotnik,B2
few,niewielu,zaimek,A1
innocent,niewinny,przymiotnik,B1
slave,niewolnica,rzeczownik,B2
slave,niewolnik,rzeczownik,B2
uncomfortable,niewygodny,przymiotnik,B1
independent,niezależny,przymiotnik,A2
reliable,niezawodny,przymiotnik,B1
essential/ necessary/ vital,niezbędny,przymiotnik,B1
unable,niezdolny,przymiotnik,B1
fixed,niezmienny,przymiotnik,B1
stranger,nieznajomy,rzeczownik,B1
unknown,nieznany,przymiotnik,B2
extremely,niezwykle,przysłówek,A2
extraordinary/ unusual,niezwykły,przymiotnik,B2
mess,nieład,rzeczownik,B1
shy,nieśmiały,przymiotnik,B1
unconscious,nieświadomy,przymiotnik,B2
carry,nieść,czasownik,A1
never,nigdy,przysłówek,A1
nowhere,nigdzie,przysłówek,A2
evil,nikczemny,przymiotnik,B2
anybody/ anyone/ no one/ nobody/ none,nikt,zaimek,A2
him,nim,zaimek,A1
them,nimi,zaimek,A1
low/ short,niski,przymiotnik,A2
low,niski poziom,rzeczownik,B2
low,nisko,przysłówek,A2
damage/ destroy,niszczyć,czasownik,B1
low,niż,rzeczownik,B2
than,niż,spójnik,A1
well,no cóż,wykrzyknik,A1
night,noc,rzeczownik,A1
leg,noga,rzeczownik,A1
normal/ standard,norma,rzeczownik,B1
normally,normalnie,przysłówek,A2
normal,normalny,przymiotnik,A2
nose,nos,rzeczownik,A1
carry/ wear,nosić,czasownik,A1
note,notatka,rzeczownik,A1
modern,nowoczesny,przymiotnik,A1
cancer,nowotwór,rzeczownik,B2
new,nowy,przymiotnik,A1
boring,nudny,przymiotnik,A1
nuclear,nuklearny,przymiotnik,B1
issue/ number,numer,rzeczownik,B1
number,numerować,czasownik,A2
current,nurt,rzeczownik,B2
knife,nóż,rzeczownik,A2
about/ of,o,przyimek,A1
oh,o,wykrzyknik,A1
wow,o rany,wykrzyknik,A2
dear,o rany!,wykrzyknik,A2
much,o wiele,przysłówek,A1
historic,o znaczeniu historycznym,przymiotnik,B1
both,oba,określnik,A1
both,oba,zaimek,A1
both,obaj,określnik,A1
afraid,obawiający się,przymiotnik,A1
heel,obcas,rzeczownik,B2
tight,obcisły,przymiotnik,B1
load,obciążenie,rzeczownik,B2
foreign/ strange,obcy,przymiotnik,A2
stranger,obcy,rzeczownik,B1
currently,obecnie,przysłówek,B1
presence,obecność,rzeczownik,B2
present,obecny,przymiotnik,A1
dinner/ lunch,obiad,rzeczownik,A1
promise,obiecywać,czasownik,A2
facility/ object,obiekt,rzeczownik,B2
objective,obiektywny,przymiotnik,B2
promise,obietnica,rzeczownik,A2
symptom,objaw,rzeczownik,B1
volume,objętość,rzeczownik,B2
fail,oblać,czasownik,A2
calculate,obliczać,czasownik,B2
bond,obligacja,rzeczownik,B2
lower,obniżać,czasownik,B2
discount,obniżać cenę,czasownik,B2
decline,obniżać się,czasownik,B2
decline,obniżenie,rzeczownik,B2
reduction,obniżka,rzeczownik,B2
both,oboje,określnik,A1
both,oboje,zaimek,A1
by/ next to/ past,obok,przyimek,A1
by/ past,obok,przysłówek,B1
duty/ obligation,obowiązek,rzeczownik,B1
camp,obozować,czasownik,A2
turn,obracać (się),czasownik,A1
image/ painting/ picture,obraz,rzeczownik,A2
offence,obraza,rzeczownik,B2
illustrate,obrazować,czasownik,B2
offensive,obraźliwy,przymiotnik,B2
offend,obrażać,czasownik,B2
defence,obrona,rzeczownik,B2
turn,obrót,rzeczownik,A1
cast,obsada (filmu),rzeczownik,B2
cast,obsadzać role,czasownik,B2
observation/ watch,obserwacja,rzeczownik,B2
observe/ watch,obserwować,czasownik,B2
area/ zone,obszar,rzeczownik,A1
service,obsługa,rzeczownik,A2
handle/ operate/ serve/ support,obsługiwać,czasownik,B2
housing,obudowa,rzeczownik,B2
blame,obwiniać,czasownik,B2
custom,obyczaj,rzeczownik,B1
citizen,obywatel,rzeczownik,B2
civil,obywatelski,przymiotnik,B2
camp,obóz,rzeczownik,A2
rescue/ saving,ocalenie,rzeczownik,B2
rescue,ocalić,czasownik,B2
ocean,ocean,rzeczownik,A2
assessment/ grade/ mark,ocena,rzeczownik,B2
assess/ estimate/ evaluate/ grade/ judge/ mark/ rate,oceniać,czasownik,B2
oh,och,wykrzyknik,A1
protection/ security,ochrona,rzeczownik,B2
expectation,oczekiwanie,rzeczownik,B2
expected,oczekiwany,przymiotnik,B1
apparent/ obvious,oczywisty,przymiotnik,B2
certainly/ naturally/ obviously/ sure,oczywiście,przysłówek,A2
from,od,przyimek,A1
since,od,przyimek / spójnik,A2
off,od (np. od powierzchni),przysłówek,A1
of,od (przynależność),przyimek,A1
occasionally,od czasu do czasu,przysłówek,B2
since,od czasu gdy,przyimek / spójnik,A2
since,od tego czasu,przysłówek,B1
receive,odbierać,czasownik,A2
reflect,odbijać,czasownik,B1
print,odbitka,rzeczownik,B2
outdoor,odbywający się na zewnątrz,przymiotnik,B1
indoor,odbywający się wewnątrz,przymiotnik,B1
shade,odcień,rzeczownik,B2
episode/ section/ stretch,odcinek,rzeczownik,B1
commitment,oddanie,rzeczownik,B2
breath,oddech,rzeczownik,B1
breathing,oddychanie,rzeczownik,B1
breathe,oddychać,czasownik,B1
branch,oddział,rzeczownik,B1
separate,oddzielać,czasownik,B1
apart,oddzielnie,przysłówek,B1
separate,oddzielny,przymiotnik,A2
departure,odjazd,rzeczownik,B1
discovery,odkrycie,rzeczownik,A2
discover,odkrywać,czasownik,A2
distance,odległość,rzeczownik,A2
remote,odległy,przymiotnik,B1
departure,odlot,rzeczownik,B1
decline/ deny/ refuse,odmawiać,czasownik,B2
variety,odmiana,rzeczownik,A2
unlike,odmienny od,przyimek,B1
reference,odniesienie,rzeczownik,B1
benefit,odnosić korzyść,czasownik,B1
refer,odnosić się do,czasownik,A2
successful,odnoszący sukcesy,przymiotnik,A2
waste,odpadowy,przymiotnik,B1
waste,odpady,rzeczownik,B1
launch,odpalać,czasownik,B2
launch,odpalenie,rzeczownik,B2
rest (sleep/relax),odpoczynek,rzeczownik,A2
relax/ rest (sleep/relax),odpoczywać,czasownik,A1
answer/ reply/ respond/ suit,odpowiadać,czasownik,A1
appropriate/ proper/ suitable,odpowiedni,przymiotnik,B2
responsibility,odpowiedzialność,rzeczownik,B1
responsible,odpowiedzialny,przymiotnik,B1
answer/ reply/ response,odpowiedź,rzeczownik,A1
chip,odprysk,rzeczownik,A2
dismiss/ reject,odrzucać,czasownik,B2
percentage,odsetek,rzeczownik,B1
interest,odsetki,rzeczownik,A1
gap,odstęp,rzeczownik,A2
expose/ reveal,odsłaniać,czasownik,B2
reject,odtrącać,czasownik,B1
player,odtwarzacz,rzeczownik,A1
courage/ nerve,odwaga,rzeczownik,B2
brave,odważny,przymiotnik,B1
visitor,odwiedzający,rzeczownik,A1
visit,odwiedzać,czasownik,A1
visit,odwiedziny,rzeczownik,A1
delay,odwlekać,czasownik,B2
cancel,odwołać,czasownik,B2
clothing,odzież,rzeczownik,A2
reflect,odzwierciedlać,czasownik,B1
recover,odzyskać,czasownik,B2
offensive,ofensywny,przymiotnik,B2
offer,oferować,czasownik,A2
offer,oferta,rzeczownik,A2
victim,ofiara,rzeczownik,B1
officer,oficer,rzeczownik,A2
formal/ official,oficjalny,przymiotnik,A2
fire,ogień,rzeczownik,A1
view/ watch,oglądać,czasownik,B1
focus,ognisko,rzeczownik,A2
link,ogniwo,rzeczownik,A2
tail,ogon,rzeczownik,B1
limit,ograniczać,czasownik,B1
limit,ograniczenie,rzeczownik,B1
limited,ograniczony,przymiotnik,B2
fence,ogrodzenie,rzeczownik,B1
enormous/ huge/ massive/ vast,ogromny,przymiotnik,A2
heating,ogrzewanie,rzeczownik,B1
warm,ogrzewać (się),czasownik,B1
garden,ogród,rzeczownik,A1
generally/ overall,ogólnie,przysłówek,B1
general/ overall/ total,ogólny,przymiotnik,A2
public,ogół,rzeczownik,A2
declare,ogłaszać,czasownik,B2
announce,ogłosić,czasownik,B1
announcement/ notice,ogłoszenie,rzeczownik,B1
father,ojciec,rzeczownik,A1
native,ojczysty,przymiotnik,B1
grand,okazały,przymiotnik,B2
chance/ occasion/ opportunity,okazja,rzeczownik,A2
occasionally,okazyjnie,przysłówek,B2
window,okno,rzeczownik,A1
eye,oko,rzeczownik,A1
neighbourhood,okolica,rzeczownik,B1
circumstance,okoliczność,rzeczownik,B2
about/ approximately/ around,około,przysłówek,A1
period,okres,rzeczownik,A1
define/ determine/ term,określać,czasownik,B1
term,określenie,rzeczownik,A2
definite,określony,przymiotnik,B1
awful/ horrible/ terrible,okropny,przymiotnik,A2
cruel,okrutny,przymiotnik,B1
round,okrągły,przymiotnik,A2
district,okręg,rzeczownik,B2
cover,okładka,rzeczownik,B1
giant,olbrzym,rzeczownik,B1
enormous/ giant/ huge,olbrzymi,przymiotnik,A2
oil,olej,rzeczownik,A2
discuss,omawiać,czasownik,A1
he,on,zaimek,A1
she,ona,zaimek,A1
they,one,zaimek,A1
they,oni,zaimek,A1
themselves,oni sami,zaimek,A2
online,online,przymiotnik,A1
online,online,przysłówek,A1
it,ono,zaimek,A1
pack,opakowanie,rzeczownik,B1
master,opanować (np. umiejętność),czasownik,B2
support,oparcie,rzeczownik,A2
based,oparty na,przymiotnik,A2
burn,oparzenie,rzeczownik,B2
band,opaska,rzeczownik,A1
option,opcja,rzeczownik,A2
operation/ surgery,operacja,rzeczownik,B1
do (auxiliary),operator (posiłkowy),czasownik posiłkowy,A1
operate,operować,czasownik,B2
care,opieka,rzeczownik,A2
base,opierać na,czasownik,B1
lean/ resist,opierać się,czasownik,B2
opinion/ reputation,opinia,rzeczownik,A1
description,opis,rzeczownik,A1
describe,opisywać,czasownik,A1
tax,opodatkować,czasownik,B1
tyre,opona,rzeczownik,B1
opponent,oponent,rzeczownik,B2
story,opowiadanie,rzeczownik,A1
tell,opowiadać,czasownik,A1
narrative/ tale,opowieść,rzeczownik,B1
opposition,opozycja,rzeczownik,B2
develop,opracowywać,czasownik,A2
frame,oprawiać w ramkę,czasownik,B1
software,oprogramowanie,rzeczownik,B1
guide,oprowadzać,czasownik,A2
but/ except,oprócz,przyimek,B2
empty,opróżniać,czasownik,B1
desert/ leave,opuszczać,czasownik,B2
delay,opóźniać,czasownik,B2
delay,opóźnienie,rzeczownik,B2
charge,opłata,rzeczownik,B1
fee,opłata (np. za szkołę,rzeczownik,B2
organ,organ,rzeczownik,B2
organization,organizacja,rzeczownik,A2
charity,organizacja charytatywna,rzeczownik,A2
organizer,organizator,rzeczownik,B1
arrange/ hold/ organize/ stage,organizować,czasownik,A2
spelling,ortografia,rzeczownik,A1
original,oryginalny,przymiotnik,A2
original,oryginał,rzeczownik,B1
nut,orzech,rzeczownik,A2
finding,orzeczenie,rzeczownik,B2
resident,osiadły,przymiotnik,B2
settle,osiedlać się,czasownik,B2
eight,osiem,liczebnik,A1
eighty,osiemdziesiąt,liczebnik,A1
eighteen,osiemnaście,liczebnik,A1
achievement,osiągnięcie,rzeczownik,B1
achieve,osiągnąć,czasownik,A2
succeed,osiągnąć sukces,czasownik,A2
accuse,oskarżać,czasownik,B2
individual/ person,osoba,rzeczownik,A2
adult,osoba dorosła,rzeczownik,A1
equal,osoba równa komuś,rzeczownik,B2
first,osoba),rzeczownik,A2
personal,osobisty,przymiotnik,A1
personally,osobiście,przysłówek,B1
apart,osobno,przysłówek,B1
separate,osobny,przymiotnik,A2
personality,osobowość,rzeczownik,A2
eventually/ finally/ ultimately,ostatecznie,przysłówek,B1
final,ostateczny,przymiotnik,A1
last (final),ostatni,określnik,A1
latest/ recent,ostatni,przymiotnik,B1
last (final),ostatni (osoba,rzeczownik,A2
last (final)/ recently,ostatnio,przysłówek,A2
carefully,ostrożnie,przysłówek,A2
careful,ostrożny,przymiotnik,A2
pointed/ sharp/ spicy,ostry,przymiotnik,B2
warn,ostrzegać,czasownik,B1
warning,ostrzeżenie,rzeczownik,B1
assessment,oszacowanie,rzeczownik,B2
saving,oszczędność,rzeczownik,B2
save,oszczędzać,czasownik,A2
cheat/ trick,oszukiwać,czasownik,B1
cheat,oszust,rzeczownik,B1
judgement,osąd,rzeczownik,B2
screen,osłaniać,czasownik,B2
surrounding,otaczający,przymiotnik,B2
surround,otaczać,czasownik,B2
setting,otoczenie,rzeczownik,B1
obtain,otrzymać,czasownik,B2
receive,otrzymywać,czasownik,A2
opening,otwarcie,rzeczownik,B2
open,otwarty,przymiotnik,A1
open,otwierać (się),czasownik,A1
hole/ opening,otwór,rzeczownik,A2
insect,owad,rzeczownik,A2
sheep,owca,rzeczownik,A1
wind (turn)/ wrap,owijać,czasownik,B2
fruit,owoc,rzeczownik,A1
decorate,ozdabiać,czasownik,B1
decoration,ozdoba,rzeczownik,B2
label/ mean,oznaczać,czasownik,B1
pencil,ołówek,rzeczownik,A1
resort,ośrodek wypoczynkowy,rzeczownik,B2
state,oświadczać,czasownik,B1
statement,oświadczenie,rzeczownik,A1
lively,ożywiony,przymiotnik,B2
bye,pa,wykrzyknik,A1
smell,pachnieć,czasownik,A2
patient,pacjent,rzeczownik,A2
pack/ package,paczka,rzeczownik,B1
rain,padać (o deszczu),czasownik,A1
snow,padać (o śniegu),czasownik,A1
hill,pagórek,rzeczownik,A2
spider,pająk,rzeczownik,A2
web,pajęczyna,rzeczownik,A2
package,pakiet,rzeczownik,B1
pack/ package/ wrap,pakować,czasownik,A2
finger,palec,rzeczownik,A2
toe,palec u nogi,rzeczownik,B1
smoking,palenie tytoniu,rzeczownik,A2
fuel,paliwo,rzeczownik,B1
burn,palić,czasownik,A2
smoke,palić (papierosy),czasownik,A2
remember,pamiętać,czasownik,A1
diary,pamiętnik,rzeczownik,A2
memory,pamięć,rzeczownik,A2
gentleman/ lord/ master,pan,rzeczownik,B1
you,pan,zaimek,A1
sir,pan (uprzejmie),rzeczownik,A2
panel,panel,rzeczownik,B2
lady,pani,rzeczownik,A2
you,pani,zaimek,A1
bride,panna młoda,rzeczownik,B1
control,panowanie,rzeczownik,A2
rule,panować,czasownik,B1
paper,papier,rzeczownik,A1
cigarette,papieros,rzeczownik,A2
pepper,papryka,rzeczownik,A1
couple/ pair,para,rzeczownik,A2
receipt,paragon,rzeczownik,B1
umbrella,parasol,rzeczownik,A1
park,park,rzeczownik,A1
parking,parking,rzeczownik,A2
parking,parkowanie,rzeczownik,A2
park,parkować,czasownik,A1
parliament,parlament,rzeczownik,B2
