english,polish,type,level
forgive,wybaczać,czasownik,B2
fork,widelec / rozwidlenie,rzeczownik,A2
form,forma / formularz / kształt,rzeczownik,A1
form,tworzyć / formować,czasownik,A1
formal,formalny / oficjalny,przymiotnik,A2
former,były / poprzedni,przymiotnik,B2
fortunately,na szczęście,przysłówek,A2
fortune,fortuna / los / majątek,rzeczownik,B2
forty,czterdzieści,liczebnik,A1
forward,naprzód / do przodu,przysłówek,A2
forward,przedni / wysunięty,przymiotnik,B2
found,zakładać / ufundować,czasownik,B2
four,cztery,liczebnik,A1
fourteen,czternaście,liczebnik,A1
fourth,czwarty,liczebnik,A1
frame,rama / ramka / klatka,rzeczownik,B1
frame,oprawiać w ramkę,czasownik,B1
free,wolny / darmowy,przymiotnik,A1
free,za darmo,przysłówek,A2
free,uwalniać,czasownik,B2
freedom,wolność,rzeczownik,B2
freeze,zamarzać / mrozić,czasownik,B1
frequency,częstotliwość,rzeczownik,B2
frequently,często,przysłówek,B1
fresh,świeży,przymiotnik,A2
Friday,piątek,rzeczownik,A1
fridge,lodówka,rzeczownik,A2
friend,przyjaciel / znajomy,rzeczownik,A1
friendly,przyjazny / miły,przymiotnik,A1
friendship,przyjaźń,rzeczownik,B1
frighten,przestraszyć,czasownik,B1
frightened,przestraszony,przymiotnik,B1
frightening,przerażający,przymiotnik,B1
frog,żaba,rzeczownik,A2
from,z / od,przyimek,A1
front,przód / front,rzeczownik,A1
front,przedni,przymiotnik,A1
frozen,zamrożony,przymiotnik,B1
fruit,owoc,rzeczownik,A1
fry,smażyć,czasownik,B1
fuel,paliwo,rzeczownik,B1
fuel,napędzać / zasilać,czasownik,B2
full,pełny,przymiotnik,A1
fully,w pełni / całkowicie,przysłówek,B2
fun,zabawa,rzeczownik,A1
fun,fajny / zabawny,przymiotnik,A2
function,funkcja / rola,rzeczownik,B1
function,funkcjonować / działać,czasownik,B2
fund,fundusz,rzeczownik,B2
fund,finansować,czasownik,B2
fundamental,fundamentalny / podstawowy,przymiotnik,B2
funding,finansowanie / fundusze,rzeczownik,B2
funny,zabawny / śmieszny,przymiotnik,A1
fur,futro / sierść,rzeczownik,B1
furniture,meble,rzeczownik,A2
further,dalszy / kolejny,przymiotnik,A2
further,dalej / bardziej,przysłówek,B1
furthermore,co więcej / ponadto,przysłówek,B2
future,przyszłość,rzeczownik,A1
future,przyszły,przymiotnik,A2
gain,zyskać / zdobyć,czasownik,B2
gain,zysk / przyrost,rzeczownik,B2
gallery,galeria,rzeczownik,A2
game,gra / mecz,rzeczownik,A1
gang,gang / szajka,rzeczownik,B2
gap,luka / przerwa / odstęp,rzeczownik,A2
garage,garaż / warsztat,rzeczownik,B1
garden,ogród,rzeczownik,A1
gas,gaz / benzyna (AmE),rzeczownik,A2
gate,brama / bramka,rzeczownik,A2
gather,zbierać (się) / gromadzić,czasownik,B1
general,ogólny,przymiotnik,A2
generally,ogólnie / powszechnie,przysłówek,B1
generate,generować / wytwarzać,czasownik,B2
generation,pokolenie / generacja,rzeczownik,B1
generous,hojny / wspaniałomyślny,przymiotnik,B1
genre,gatunek (np. literacki / filmowy),rzeczownik,B2
gentle,łagodny / delikatny,przymiotnik,B1
gentleman,dżentelmen / pan,rzeczownik,B1
geography,geografia,rzeczownik,A1
get,dostawać / docierać / stawać się,czasownik,A1
ghost,duch,rzeczownik,B1
giant,gigantyczny / olbrzymi,przymiotnik,B1
giant,olbrzym / gigant,rzeczownik,B1
gift,prezent / dar / talent,rzeczownik,A2
girl,dziewczyna,rzeczownik,A1
girlfriend,dziewczyna (partnerka),rzeczownik,A1
give,dawać / podawać,czasownik,A1
glad,zadowolony / chętny,przymiotnik,B1
glass,szkło / szklanka / kieliszek,rzeczownik,A1
global,globalny / światowy,przymiotnik,B1
glove,rękawiczka,rzeczownik,B1
go,iść / jechać,czasownik,A1
go,próba / tura,rzeczownik,B1
goal,gol / cel,rzeczownik,A2
god,bóg,rzeczownik,A2
gold,złoty,przymiotnik,A2
gold,złoto,rzeczownik,A2
golf,golf,rzeczownik,A2
good,dobry,przymiotnik,A1
good,dobro / pożytek,rzeczownik,A2
goodbye,do widzenia / pożegnanie,wykrzyknik / rzeczownik,A1
goods,towary,rzeczownik,B1
govern,rządzić / sprawować władzę,czasownik,B2
government,rząd,rzeczownik,A2
grab,chwytać / łapać,czasownik,B2
grade,ocena / stopień / klasa,rzeczownik,B1
grade,oceniać / sortować,czasownik,B2
gradually,stopniowo,przysłówek,B2
graduate,absolwent,rzeczownik,B1
graduate,ukończyć studia,czasownik,B1
grain,ziarno / zboże,rzeczownik,B1
grand,okazały / wspaniały,przymiotnik,B2
grandfather,dziadek,rzeczownik,A1
grandmother,babcia,rzeczownik,A1
grandparent,dziadek lub babcia,rzeczownik,A1
grant,przyznawać / udzielać,czasownik,B2
grant,dotacja / grant,rzeczownik,B2
grass,trawa,rzeczownik,A2
grateful,wdzięczny,przymiotnik,B1
great,wielki / świetny,przymiotnik,A1
green,zielony,przymiotnik,A1
green,zieleń,rzeczownik,A1
greet,witać / pozdrawiać,czasownik,A2
grey,szary,przymiotnik,A1
grey,szarość,rzeczownik,A1
ground,ziemia / podłoże / teren,rzeczownik,A2
group,grupa,rzeczownik,A1
grow,rosnąć / uprawiać / hodować,czasownik,A1
growth,wzrost / rozwój,rzeczownik,B1
guarantee,gwarantować,czasownik,B2
guarantee,gwarancja,rzeczownik,B2
guard,strażnik / warta,rzeczownik,B1
guard,strzec / pilnować,czasownik,B1
guess,zgadywać / przypuszczać,czasownik,A1
guess,domysł / zgadywanie,rzeczownik,A1
guest,gość,rzeczownik,A2
guide,przewodnik / poradnik,rzeczownik,A2
guide,prowadzić / oprowadzać,czasownik,A2
guilty,winny,przymiotnik,B1
guitar,gitara,rzeczownik,A1
gun,pistolet / broń palna,rzeczownik,A2
guy,facet / gość,rzeczownik,A2
gym,siłownia / sala gimnastyczna,rzeczownik,A1
habit,nawyk / zwyczaj,rzeczownik,A2
hair,włosy,rzeczownik,A1
half,połowa,rzeczownik,A1
half,pół / połowiczny,określnik / zaimek,A1
half,w połowie,przysłówek,A2
hall,hol / korytarz / sala,rzeczownik,A2
hand,ręka / dłoń,rzeczownik,A1
hand,wręczać / podawać,czasownik,B1
handle,zajmować się / obsługiwać,czasownik,B2
handle,uchwyt / rączka / klamka,rzeczownik,B2
hang,wisieć / wieszać,czasownik,B1
happen,wydarzyć się / dziać się,czasownik,A1
happy,szczęśliwy / radosny,przymiotnik,A1
happily,szczęśliwie / z radością,przysłówek,A2
happiness,szczęście,rzeczownik,B1
hard,twardy / trudny,przymiotnik,A1
hard,ciężko / mocno,przysłówek,A1
hardly,ledwo / ledwie,przysłówek,B1
harm,szkoda / krzywda,rzeczownik,B2
harm,szkodzić / krzywdzić,czasownik,B2
harmful,szkodliwy,przymiotnik,B2
hat,kapelusz / czapka,rzeczownik,A1
hate,nienawidzić,czasownik,A1
hate,nienawiść,rzeczownik,B1
have,mieć / posiadać,czasownik,A1
have,mieć (posiłkowy),czasownik posiłkowy,A2
have to,musieć,czasownik modalny,A1
he,on,zaimek,A1
head,głowa / szef,rzeczownik,A1
head,kierować (się) / przewodzić,czasownik,B1
headache,ból głowy,rzeczownik,A2
headline,nagłówek,rzeczownik,B1
health,zdrowie,rzeczownik,A1
healthy,zdrowy,przymiotnik,A1
hear,słyszeć,czasownik,A1
hearing,słuch / przesłuchanie,rzeczownik,B2
heart,serce,rzeczownik,A2
heat,gorąco / ciepło / upał,rzeczownik,A2
heat,podgrzewać,czasownik,A2
heating,ogrzewanie,rzeczownik,B1
heaven,niebo (w sensie religijnym) / raj,rzeczownik,B2
heavily,ciężko / mocno,przysłówek,B1
heavy,ciężki,przymiotnik,A2
heel,pięta / obcas,rzeczownik,B2
height,wysokość / wzrost,rzeczownik,A2
helicopter,helikopter / śmigłowiec,rzeczownik,B1
hell,piekło,rzeczownik,B2
hello,cześć / dzień dobry,wykrzyknik / rzeczownik,A1
help,pomagać,czasownik,A1
help,pomoc,rzeczownik,A1
helpful,pomocny,przymiotnik,A2
her,jej / ją / niej,zaimek / określnik,A1
here,tutaj,przysłówek,A1
hero,bohater,rzeczownik,A2
hers,jej (zaimek dzierżawczy),zaimek,A2
herself,się / sama / siebie (o niej),zaimek,A2
hesitate,wahać się,czasownik,B2
hey,hej / halo,wykrzyknik,A1
hi,cześć,wykrzyknik,A1
hide,ukrywać (się) / chować (się),czasownik,A2
high,wysoki,przymiotnik,A1
high,wysoko,przysłówek,A2
high,szczyt / poziom wysoki,rzeczownik,B2
highlight,podkreślać / uwypuklać,czasownik,B1
highlight,główna atrakcja / najważniejszy punkt,rzeczownik,B1
highly,wysoce / bardzo,przysłówek,B1
hill,wzgórze / pagórek,rzeczownik,A2
him,jego / go / jemu / nim,zaimek,A1
himself,się / sam / siebie (o nim),zaimek,A2
hire,wynajmować / zatrudniać,czasownik,B1
hire,wynajem,rzeczownik,B2
his,jego,określnik,A1
his,jego (zaimek dzierżawczy),zaimek,A2
historic,historyczny / o znaczeniu historycznym,przymiotnik,B1
historical,historyczny (dotyczący historii),przymiotnik,B1
history,historia,rzeczownik,A1
hit,uderzać / trafiać,czasownik,A2
hit,uderzenie / cios / przebój,rzeczownik,A2
hobby,hobby / zainteresowanie,rzeczownik,A1
hockey,hokej,rzeczownik,A2
hold,trzymać / posiadać / organizować,czasownik,A2
hold,uścisk / chwyt,rzeczownik,B2
hole,dziura / otwór,rzeczownik,A2
holiday,wakacje / święto,rzeczownik,A1
hollow,pusty w środku,przymiotnik,B2
holy,święty,przymiotnik,B2
home,dom / miejsce zamieszkania,rzeczownik,A1
home,do domu / w domu,przysłówek,A1
home,domowy,przymiotnik,A2
homework,zadanie domowe,rzeczownik,A1
honest,uczciwy / szczery,przymiotnik,B1
honour,honor / zaszczyt,rzeczownik,B2
honour,honorować / czcić,czasownik,B2
hope,mieć nadzieję,czasownik,A1
hope,nadzieja,rzeczownik,A2
horrible,straszny / okropny,przymiotnik,B1
horror,horror / groza,rzeczownik,B1
horse,koń,rzeczownik,A1
hospital,szpital,rzeczownik,A1
host,gospodarz,rzeczownik,B1
host,gościć / być gospodarzem,czasownik,B2
hot,gorący / upalny / pikantny,przymiotnik,A1
hotel,hotel,rzeczownik,A1
hour,godzina,rzeczownik,A1
house,dom (budynek),rzeczownik,A1
house,mieścić / zapewniać mieszkanie,czasownik,B2
household,gospodarstwo domowe,rzeczownik,B2
housing,mieszkalnictwo / obudowa,rzeczownik,B2
how,jak,przysłówek,A1
however,jednak / jednakże,przysłówek,A1
huge,ogromny / olbrzymi,przymiotnik,A2
human,ludzki,przymiotnik,A2
human,człowiek,rzeczownik,A2
humorous,humorystyczny / zabawny,przymiotnik,B2
humour,humor,rzeczownik,B2
hundred,sto,liczebnik,A1
hungry,głodny,przymiotnik,A1
hunt,polować,czasownik,B1
hunt,polowanie / poszukiwanie,rzeczownik,B2
hunting,polowanie (jako zajęcie),rzeczownik,B2
hurricane,huragan,rzeczownik,B1
hurry,pośpiech,rzeczownik,B1
hurry,śpieszyć się,czasownik,B1
hurt,ranić / boleć,czasownik,A2
hurt,ranny / skarży się na ból,przymiotnik,A2
hurt,krzywda / ból,rzeczownik,B2
husband,mąż,rzeczownik,A1
I,ja,zaimek,A1
ice,lód,rzeczownik,A1
ice cream,lody,rzeczownik,A1
idea,pomysł / idea,rzeczownik,A1
ideal,idealny,przymiotnik,A2
ideal,ideał,rzeczownik,B2
identify,identyfikować / rozpoznawać,czasownik,A2
identity,tożsamość,rzeczownik,B1
if,jeśli / jeżeli / czy,spójnik,A1
ignore,ignorować,czasownik,B1
ill,chory,przymiotnik,A2
illegal,nielegalny,przymiotnik,B1
illness,choroba,rzeczownik,A2
illustrate,ilustrować / obrazować,czasownik,B2
illustration,ilustracja,rzeczownik,B2
image,obraz / wizerunek,rzeczownik,A2
imaginary,zmyślony / wymyślony,przymiotnik,B1
imagination,wyobraźnia,rzeczownik,B2
imagine,wyobrażać sobie,czasownik,A1
immediate,natychmiastowy / bezpośredni,przymiotnik,B1
immediately,natychmiast,przysłówek,A2
immigrant,imigrant,rzeczownik,B1
impact,wpływ / uderzenie,rzeczownik,B1
impact,wpływać na / uderzać w,czasownik,B1
impatient,niecierpliwy,przymiotnik,B2
imply,sugerować / dawać do zrozumienia,czasownik,B2
import,import / przywóz,rzeczownik,B1
import,importować,czasownik,B1
importance,znaczenie / ważność,rzeczownik,B1
important,ważny / istotny,przymiotnik,A1
impose,nakładać / narzucać,czasownik,B2
impossible,niemożliwy,przymiotnik,A2
impress,robić wrażenie / imponować,czasownik,B2
impressed,pod wrażeniem,przymiotnik,B2
impression,wrażenie,rzeczownik,B1
impressive,imponujący,przymiotnik,B1
improve,poprawiać / ulepszać,czasownik,A1
improvement,poprawa / ulepszenie,rzeczownik,B1
in,w / wewnątrz,przyimek,A1
in,do środka / wewnątrz,przysłówek,A1
inch,cal,rzeczownik,B2
incident,incydent / zdarzenie,rzeczownik,B2
include,zawierać / włączać,czasownik,A1
included,zawarty / wliczony,przymiotnik,A2
including,w tym / wliczając,przyimek,A2
income,dochód,rzeczownik,B2
increase,zwiększać (się) / wzrastać,czasownik,A2
increase,wzrost / przyrost,rzeczownik,A2
increasingly,coraz bardziej / coraz częściej,przysłówek,B2
incredible,niesamowity / niewiarygodny,przymiotnik,A2
incredibly,niesamowicie / niewiarygodnie,przysłówek,B1
indeed,rzeczywiście / istotnie,przysłówek,B1
independent,niezależny / niepodległy,przymiotnik,A2
indicate,wskazywać / sygnalizować,czasownik,B1
indirect,pośredni,przymiotnik,B1
individual,jednostka / osoba,rzeczownik,A2
individual,indywidualny / poszczególny,przymiotnik,A2
indoor,domowy / odbywający się wewnątrz,przymiotnik,B1
indoors,wewnątrz / w budynku,przysłówek,B1
industrial,przemysłowy,przymiotnik,B2
industry,przemysł / branża,rzeczownik,A2
infection,infekcja / zakażenie,rzeczownik,B2
influence,wpływ,rzeczownik,B1
influence,wpływać na,czasownik,B1
inform,informować / zawiadamiać,czasownik,B2
informal,nieformalny,przymiotnik,A2
information,informacja / informacje,rzeczownik,A1
ingredient,składnik,rzeczownik,B1
initial,początkowy / wstępny,przymiotnik,B2
initially,początkowo / wstępnie,przysłówek,B2
initiative,inicjatywa,rzeczownik,B2
injure,ranić / urazić,czasownik,B1
injured,ranny / kontuzjowany,przymiotnik,B1
injury,uraz / kontuzja,rzeczownik,A2
inner,wewnętrzny,przymiotnik,B2
innocent,niewinny,przymiotnik,B1
insect,owad,rzeczownik,A2
inside,wewnątrz / do środka,przyimek,A2
inside,wewnątrz / w środku,przysłówek,A2
inside,wnętrze / środek,rzeczownik,A2
inside,wewnętrzny,przymiotnik,A2
insight,wgląd / spostrzeżenie,rzeczownik,B2
insist,nalegać,czasownik,B2
inspire,inspirować,czasownik,B2
install,instalować / montować,czasownik,B2
instance,przykład / instancja,rzeczownik,B2
instead,zamiast / w zamian,przysłówek,A2
institute,instytut,rzeczownik,B2
institution,instytucja,rzeczownik,B2
instruction,instrukcja / polecenie,rzeczownik,A2
instructor,instruktor,rzeczownik,A2
instrument,instrument / przyrząd,rzeczownik,A2
insurance,ubezpieczenie,rzeczownik,B2
intelligence,inteligencja,rzeczownik,B1
intelligent,inteligentny,przymiotnik,A2
intend,zamierzać,czasownik,B1
intended,zamierzony / przeznaczony,przymiotnik,B2
intense,intensywny,przymiotnik,B2
intention,zamiar / intencja,rzeczownik,B1
interest,zainteresowanie / odsetki,rzeczownik,A1
interest,interesować / zaciekawić,czasownik,A1
interested,zainteresowany,przymiotnik,A1
interesting,interesujący / ciekawy,przymiotnik,A1
internal,wewnętrzny,przymiotnik,B2
international,międzynarodowy,przymiotnik,A2
internet,internet,rzeczownik,A1
interpret,interpretować,czasownik,B2
interrupt,przerywać / przeszkadzać,czasownik,B2
interview,wywiad / rozmowa kwalifikacyjna,rzeczownik,A1
interview,przeprowadzać wywiad,czasownik,A1
into,do / do środka,przyimek,A1
introduce,przedstawiać / wprowadzać,czasownik,A1
introduction,wprowadzenie / wstęp,rzeczownik,A2
invent,wynaleźć,czasownik,A2
invention,wynalazek,rzeczownik,A2
invest,inwestować,czasownik,B1
investigate,prowadzić dochodzenie / badać,czasownik,B1
investigation,dochodzenie / śledztwo,rzeczownik,B2
investment,inwestycja,rzeczownik,B2
invitation,zaproszenie,rzeczownik,A2
invite,zapraszać,czasownik,A2
involve,angażować / dotyczyć,czasownik,A2
involved,zaangażowany,przymiotnik,B1
iron,żelazo / żelazko,rzeczownik,B1
iron,prasować,czasownik,B1
island,wyspa,rzeczownik,A1
issue,kwestia / wydanie / numer,rzeczownik,B1
issue,wydawać / wystawiać,czasownik,B2
IT,informatyka / technologia informacyjna,rzeczownik,B1
it,to / ono,zaimek,A1
item,rzecz / pozycja / artykuł,rzeczownik,A2
its,jego / jej (do it),określnik,A1
itself,się / samo / siebie (do it),zaimek,A2
jacket,kurtka / marynarka,rzeczownik,A1
jam,dżem / zator,rzeczownik,A2
January,styczeń,rzeczownik,A1
jazz,jazz,rzeczownik,A2
jeans,dżinsy,rzeczownik,A1
jewellery,biżuteria,rzeczownik,A2
job,praca / zawód,rzeczownik,A1
join,dołączyć / łączyć,czasownik,A1
joke,żart / kawał,rzeczownik,A2
joke,żartować,czasownik,A2
journal,czasopismo / dziennik,rzeczownik,B1
journalist,dziennikarz,rzeczownik,A2
journey,podróż,rzeczownik,A1
joy,radość,rzeczownik,B2
judge,sędzia,rzeczownik,B1
judge,sądzić / oceniać,czasownik,B1
judgement,osąd / wyrok,rzeczownik,B2
juice,sok,rzeczownik,A1
July,lipiec,rzeczownik,A1
jump,skakać,czasownik,A2
jump,skok,rzeczownik,A2
June,czerwiec,rzeczownik,A1
junior,młodszy stażem / junior,przymiotnik,B2
just,tylko / właśnie,przysłówek,A1
justice,sprawiedliwość / wymiar sprawiedliwości,rzeczownik,B2
justify,uzasadniać,czasownik,B2
keen,chętny / zapalony,przymiotnik,B1
keep,trzymać / zachowywać,czasownik,A1
key,klucz / klawisz,rzeczownik,A1
key,kluczowy / najważniejszy,przymiotnik,A1
key,wprowadzać (dane),czasownik,B1
keyboard,klawiatura,rzeczownik,B1
kick,kopać / kopnąć,czasownik,B1
kick,kopnięcie,rzeczownik,B1
kid,dziecko / dzieciak,rzeczownik,A2
kill,zabijać,czasownik,A2
killing,zabójstwo,rzeczownik,B1
kilometre,kilometr,rzeczownik,A1
kind (type),rodzaj / typ,rzeczownik,A1
kind (caring),miły / uprzejmy,przymiotnik,B1
king,król,rzeczownik,A2
kiss,całować,czasownik,B1
kiss,pocałunek,rzeczownik,B1
kitchen,kuchnia,rzeczownik,A1
knee,kolano,rzeczownik,A2
knife,nóż,rzeczownik,A2
knock,pukać / uderzać,czasownik,A2
knock,pukanie / uderzenie,rzeczownik,B1
know,wiedzieć / znać,czasownik,A1
knowledge,wiedza,rzeczownik,A2
lab,laboratorium,rzeczownik,A2
label,etykieta / metka,rzeczownik,B1
label,etykietować / oznaczać,czasownik,B1
laboratory,laboratorium,rzeczownik,B1
labour,praca / siła robocza / trud,rzeczownik,B2
lack,brak,rzeczownik,B1
lack,nie mieć / cierpieć na brak,czasownik,B1
lady,pani / dama,rzeczownik,A2
lake,jezioro,rzeczownik,A2
lamp,lampa,rzeczownik,A2
land,ziemia / ląd,rzeczownik,A1
land,lądować,czasownik,A2
landscape,krajobraz,rzeczownik,B2
language,język,rzeczownik,A1
laptop,laptop,rzeczownik,A2
large,duży / wielki,przymiotnik,A1
largely,w dużej mierze / głównie,przysłówek,B2
last (final),ostatni,określnik,A1
last (final),ostatnio,przysłówek,A2
last (final),ostatni (osoba/rzecz),rzeczownik,A2
last (taking time),trwać,czasownik,A2
late,późny,przymiotnik,A1
late,późno,przysłówek,A1
later,później,przysłówek,A1
later,późniejszy,przymiotnik,A2
latest,najnowszy / ostatni,przymiotnik,B1
latest,to co najnowsze,rzeczownik,B2
laugh,śmiać się,czasownik,A1
laugh,śmiech,rzeczownik,A1
laughter,śmiech,rzeczownik,A2
launch,wprowadzać na rynek / odpalać,czasownik,B2
launch,premiera / odpalenie,rzeczownik,B2
law,prawo,rzeczownik,A2
lawyer,prawnik,rzeczownik,A2
lay,kłaść / kłaść (np. do łóżka),czasownik,B1
layer,warstwa,rzeczownik,B1
lazy,leniwy,przymiotnik,A2
leader,lider / przywódca,rzeczownik,A2
leadership,przywództwo / kierownictwo,rzeczownik,B2
leading,czołowy / przodujący,przymiotnik,B1
leaf,liść,rzeczownik,B1
league,liga,rzeczownik,B2
lean,pochylać się / opierać się,czasownik,B2
learn,uczyć się,czasownik,A1
learning,nauka / uczenie się,rzeczownik,A2
least,najmniej,określnik / zaimek,A2
least,najmniej,przysłówek,A2
leather,skóra (materiał),rzeczownik,B1
leave,opuszczać / wyjeżdżać / zostawiać,czasownik,A1
leave,urlop / pozwolenie,rzeczownik,B2
lecture,wykład,rzeczownik,A2
lecture,prowadzić wykład,czasownik,A2
left,lewy,przymiotnik,A1
left,w lewo / po lewej stronie,przysłówek,A1
left,lewa strona,rzeczownik,A1
leg,noga,rzeczownik,A1
legal,prawny / legalny,przymiotnik,B1
leisure,czas wolny / rekreacja,rzeczownik,B1
lemon,cytryna,rzeczownik,A2
lend,pożyczać (komuś),czasownik,A2
length,długość,rzeczownik,B1
less,mniej,określnik / zaimek,A2
less,mniej,przysłówek,A2
lesson,lekcja,rzeczownik,A1
let,pozwalać,czasownik,A1
letter,list / litera,rzeczownik,A1
level,poziom,rzeczownik,A2
level,poziomy / płaski,przymiotnik,B1
level,wyrównywać,czasownik,B2
library,biblioteka,rzeczownik,A1
licence,licencja / prawo jazdy,rzeczownik,B2
lie (recline),leżeć,czasownik,A1
lie (untruth),kłamać,czasownik,B1
lie (untruth),kłamstwo,rzeczownik,B1
life,życie,rzeczownik,A1
lifestyle,styl życia,rzeczownik,A2
lift,podnosić,czasownik,A2
lift,winda / podwiezienie,rzeczownik,A2
light (lamp),światło / lampa,rzeczownik,A1
light (lamp),jasny,przymiotnik,A1
light (lamp),zapalać / rozświetlać,czasownik,A2
light (weight),lekki,przymiotnik,A2
like (similar),podobny do / jak,przyimek,A1
like (pleasant),lubić,czasownik,A1
like (pleasant),upodobanie,rzeczownik,B1
likely,prawdopodobny,przymiotnik,A2
limit,limit / ograniczenie,rzeczownik,B1
limit,ograniczać,czasownik,B1
limited,ograniczony,przymiotnik,B2
line,linia / kolejka / wiersz,rzeczownik,A1
line,wyściełać / ustawiać w linii,czasownik,B2
link,link / ogniwo / połączenie,rzeczownik,A2
link,łączyć,czasownik,A2
lion,lew,rzeczownik,A1
lip,warga,rzeczownik,B1
liquid,ciecz / płyn,rzeczownik,B1
liquid,płynny,przymiotnik,B1
list,lista / spis,rzeczownik,A1
list,wymieniać / tworzyć listę,czasownik,A1
listen,słuchać,czasownik,A1
listener,słuchacz,rzeczownik,A2
literature,literatura,rzeczownik,B1
little,mały,przymiotnik,A1
little,mało / trochę,określnik / zaimek,A1
little,mało / trochę,przysłówek,A2
live (dwell),mieszkać / żyć,czasownik,A1
live (broadcast),na żywo,przymiotnik,B1
live (broadcast),na żywo,przysłówek,B1
lively,tętniący życiem / ożywiony,przymiotnik,B2
living,żyjący,przymiotnik,B1
living,życie / środki do życia,rzeczownik,B1
load,ładunek / obciążenie,rzeczownik,B2
load,ładować,czasownik,B2
loan,pożyczka / kredyt,rzeczownik,B2
local,lokalny / miejscowy,przymiotnik,A1
local,mieszkaniec / lokalny bar,rzeczownik,B1
locate,lokalizować / umiejscawiać,czasownik,B1
located,położony / usytuowany,przymiotnik,B1
location,lokalizacja / położenie,rzeczownik,B1
lock,zamykać na klucz,czasownik,A2
lock,zamek (w drzwiach) / kłódka,rzeczownik,A2
logical,logiczny,przymiotnik,B2
lonely,samotny,przymiotnik,B1
long,długi,przymiotnik,A1
long,długo,przysłówek,A1
long-term,długoterminowy,przymiotnik,B2
long-term,długoterminowo,przysłówek,B2
look,patrzeć / wyglądać,czasownik,A1
look,spojrzenie / wygląd,rzeczownik,A2
loose,luźny,przymiotnik,B2
lord,pan / lord,rzeczownik,B2
lorry,ciężarówka,rzeczownik,A2
lose,tracić / zgubić / przegrać,czasownik,A1
loss,strata / utrata,rzeczownik,B1
lost,zgubiony / stracony,przymiotnik,A2
lot,dużo / mnóstwo,zaimek,A1
lot,dużo / mnóstwo,określnik,A1
lot,bardzo / znacznie,przysłówek,A1
loud,głośny,przymiotnik,A2
loud,głośno,przysłówek,A2
loudly,głośno,przysłówek,A2
love,kochać / uwielbiać,czasownik,A1
love,miłość,rzeczownik,A1
lovely,śliczny / uroczy / miły,przymiotnik,A2
low,niski,przymiotnik,A2
low,nisko,przysłówek,A2
low,niż / niski poziom,rzeczownik,B2
lower,obniżać,czasownik,B2
luck,szczęście / fart,rzeczownik,A2
lucky,mający szczęście / szczęśliwy,przymiotnik,A2
lunch,lunch / obiad,rzeczownik,A1
lung,płuco,rzeczownik,B2
luxury,luksus,rzeczownik,B1
machine,maszyna,rzeczownik,A1
mad,szalony / wściekły,przymiotnik,B1
magazine,magazyn / czasopismo,rzeczownik,A1
magic,magia,rzeczownik,B1
magic,magiczny,przymiotnik,B1
mail,poczta,rzeczownik,A2
mail,wysyłać pocztą,czasownik,A2
main,główny,przymiotnik,A1
mainly,głównie,przysłówek,B1
maintain,utrzymywać / konserwować,czasownik,B2
major,ważny / znaczny / główny,przymiotnik,A2
majority,większość,rzeczownik,B2
make,robić / sprawiać,czasownik,A1
make,marka / wyrób,rzeczownik,B2
male,męski,przymiotnik,A2
male,mężczyzna / samiec,rzeczownik,A2
mall,centrum handlowe,rzeczownik,B1
man,mężczyzna,rzeczownik,A1
manage,zarządzać / radzić sobie,czasownik,A2
management,zarządzanie / zarząd,rzeczownik,B1
manager,menedżer / kierownik,rzeczownik,A2
manner,sposób / zachowanie,rzeczownik,A2
many,wiele / dużo,określnik / zaimek,A1
map,mapa,rzeczownik,A1
map,mapować / planować,czasownik,B2
March,marzec,rzeczownik,A1
mark,zaznaczać / oceniać,czasownik,A2
mark,znak / ślad / ocena,rzeczownik,A2
market,rynek / targ,rzeczownik,A1
market,sprzedawać / wprowadzać na rynek,czasownik,B1
marketing,marketing,rzeczownik,B1
marriage,małżeństwo,rzeczownik,B1
married,żonaty / zamężna,przymiotnik,A1
marry,żenić się / wychodzić za mąż,czasownik,A2
mass,masa / msza,rzeczownik,B2
mass,masowy,przymiotnik,B2
massive,masywny / ogromny,przymiotnik,B2
master,mistrz / pan,rzeczownik,B2
master,opanować (np. umiejętność),czasownik,B2
match,mecz / zapałka,rzeczownik,A1
match,pasować do siebie / dopasować,czasownik,A1
matching,pasujący / dopasowany,przymiotnik,B2
material,materiał / tworzywo,rzeczownik,A2
material,materialny,przymiotnik,B2
mathematics,matematyka,rzeczownik,A2
maths,matma,rzeczownik,A2
matter,sprawa / materia,rzeczownik,A2
matter,liczyć się / mieć znaczenie,czasownik,A2
maximum,maksymalny,przymiotnik,B2
maximum,maksimum,rzeczownik,B2
May,maj,rzeczownik,A1
may,móc / mieć pozwolenie,czasownik modalny,A2
maybe,może,przysłówek,A1
me,mnie / mi / mną,zaimek,A1
meal,posiłek,rzeczownik,A1
mean,oznaczać / mieć na myśli,czasownik,A1
meaning,znaczenie,rzeczownik,A1
means,środek / sposób,rzeczownik,B2
meanwhile,tymczasem / w międzyczasie,przysłówek,B1
measure,mierzyć,czasownik,B1
measure,środek / miara,rzeczownik,B1
measurement,pomiar / wymiar,rzeczownik,B2
meat,mięso,rzeczownik,A1
media,media,rzeczownik,A2
medical,medyczny,przymiotnik,A2
medicine,lek / medycyna,rzeczownik,A2
medium,średni,przymiotnik,B1
medium,medium / środek przekazu,rzeczownik,B2
meet,spotykać (się) / poznawać,czasownik,A1
